,SpeedMinimum,SpeedQ1,SpeedMedian,SpeedQ3,DistanceStartShapeCurvature,DistStartTrendAngle,DistStartTrendDevAmplitude,MaxDistPort,MinDistPort
1127,14.31,14.6,15.02,15.79,1.0,0.25,1.31,35.35,1.18
1387,0.88,1.68,1.99,2.13,1.12,0.02,5.74,35.79,27.65
3603,0.01,0.08,0.1,0.13,27.12,0.0,0.01,0.32,0.31
2523,1.14,4.58,5.36,5.82,1.31,0.05,6.42,26.51,15.59
5617,0.09,0.17,0.29,0.45,9.27,0.0,0.11,0.37,0.33
4220,5.4,12.74,13.23,13.9,1.0,0.23,0.76,40.46,17.61
1760,0.02,0.11,0.14,0.16,65.44,0.0,0.0,0.29,0.28
67,1.07,1.45,4.72,5.35,1.38,0.02,3.34,64.24,54.15
3322,1.11,3.93,4.1,4.48,1.0,0.06,0.88,56.22,50.28
2554,1.97,5.62,5.97,6.33,1.31,-0.02,7.44,24.63,21.47
3254,12.39,13.87,14.46,15.25,1.0,0.24,0.47,44.59,25.08
1366,1.97,3.88,4.39,4.8,1.0,0.08,0.99,43.03,34.01
4527,0.29,0.72,0.95,1.06,1.01,0.01,0.48,31.87,31.1
1376,1.7,2.08,2.43,2.7,1.0,0.04,0.47,21.42,15.15
4768,1.19,14.35,14.97,16.2,1.09,0.17,9.12,28.31,6.61
2831,11.14,13.09,13.99,15.05,1.0,0.24,3.14,34.93,26.87
3779,1.59,11.11,11.69,12.64,1.0,0.19,5.68,44.43,25.67
85,1.83,3.87,4.01,4.18,1.05,0.05,2.45,46.78,37.06
5506,1.07,4.66,5.21,5.47,4.49,0.0,2.27,20.05,17.78
248,0.06,0.13,0.16,0.25,71.05,0.0,0.01,0.34,0.33
4172,4.98,6.8,6.99,7.32,1.0,0.11,2.75,49.79,33.14
3948,8.37,15.85,16.51,17.13,1.0,0.27,0.87,24.08,0.2
4701,5.88,13.84,17.1,17.42,1.24,0.2,14.88,40.08,18.66
5320,0.06,0.1,0.53,1.55,1.11,0.01,0.11,0.39,0.28
712,0.0,0.03,0.04,0.05,37.93,0.0,0.0,0.36,0.36
4810,8.55,14.76,15.14,15.8,1.0,0.26,1.96,39.07,0.74
930,3.7,4.7,5.07,5.3,1.0,0.09,0.9,31.29,24.36
809,0.01,0.03,0.04,0.05,28.61,0.0,0.0,0.35,0.35
4890,8.62,17.41,17.77,17.98,1.0,0.3,10.77,27.74,2.21
724,0.01,0.03,0.04,0.06,38.19,0.0,0.0,0.36,0.36
1437,1.07,2.3,2.5,3.95,1.65,-0.01,3.85,12.25,10.11
501,0.01,0.02,0.03,0.04,18.98,0.0,0.0,0.37,0.37
4550,9.33,11.57,12.05,13.03,1.0,0.2,1.19,34.06,1.98
2275,3.32,5.04,5.33,5.59,3.4,-0.01,4.44,20.43,17.48
5252,3.37,4.77,5.03,6.0,1.0,0.08,0.92,95.57,89.57
1997,0.01,0.05,0.07,0.1,1.01,0.04,10.12,12.22,0.22
3979,7.54,10.02,10.36,10.86,1.0,0.18,2.12,34.47,17.96
1068,14.03,15.17,15.44,16.12,1.0,0.27,0.44,17.66,4.95
5104,6.16,13.39,14.17,14.7,1.0,0.18,1.06,7.19,0.07
5242,0.18,0.54,4.94,12.48,3.6,0.01,3.98,12.07,9.57
1872,14.09,14.51,14.78,15.29,1.0,0.25,0.34,40.91,31.3
368,3.05,4.78,5.08,5.55,1.49,0.07,9.04,44.89,36.0
3535,1.33,2.86,3.17,4.34,1.15,0.06,3.95,33.38,30.76
5195,0.01,0.14,7.01,7.78,1.0,0.04,2.3,3.5,0.2
3894,4.48,8.21,8.54,8.85,1.0,0.15,0.61,36.43,26.0
1768,14.72,15.83,16.11,16.34,1.0,0.28,0.44,26.95,18.88
4875,6.1,15.53,15.76,16.1,1.0,0.27,2.75,20.68,8.23
364,0.0,0.03,0.04,0.05,17.82,0.0,0.0,0.32,0.32
4614,0.57,2.43,3.83,11.8,1.5,0.02,1.65,11.98,8.01
4016,2.43,9.22,11.59,12.9,1.0,0.16,9.31,33.67,0.16
748,0.0,0.02,0.04,0.05,24.27,0.0,0.0,0.36,0.35
5338,2.04,9.5,14.94,17.29,1.0,0.25,13.31,20.05,2.46
3480,1.13,2.07,2.32,2.51,1.03,0.03,0.24,34.73,32.08
1834,13.0,14.58,15.45,16.04,1.0,0.26,2.18,41.96,11.67
2507,4.2,4.54,4.72,4.93,1.27,0.05,5.61,24.77,14.71
685,0.01,0.03,0.04,0.06,30.56,0.0,0.0,0.36,0.36
190,4.11,6.36,7.02,13.9,1.0,0.19,6.14,49.63,30.39
747,0.0,0.03,0.04,0.05,22.18,0.0,0.0,0.36,0.35
221,0.05,1.74,14.62,15.11,1.02,0.21,13.53,18.53,0.02
4238,8.07,14.11,14.57,14.89,1.0,0.25,1.05,36.08,12.15
1009,0.05,0.11,0.16,0.24,14.64,0.0,0.03,0.38,0.34
1787,14.49,15.14,15.63,16.48,1.0,0.26,0.48,49.29,12.27
1412,2.16,3.24,4.79,6.77,1.58,-0.02,9.25,33.3,27.44
2084,1.17,2.51,2.9,3.25,1.05,0.03,0.51,156.56,153.2
2702,3.14,5.62,5.78,5.87,1.0,0.1,0.04,58.82,54.43
1385,1.63,2.82,5.0,6.0,1.64,0.01,5.59,34.55,27.65
5366,4.14,5.24,5.59,6.08,1.05,0.04,1.86,26.02,21.33
4782,7.92,15.3,15.91,16.57,1.0,0.21,3.64,35.37,1.86
4695,8.97,17.57,18.17,19.1,1.0,0.3,0.44,42.38,19.26
3141,10.94,13.47,14.76,16.9,1.0,0.2,1.61,21.64,3.8
1271,0.61,1.61,1.92,4.08,2.08,0.0,1.96,19.32,17.98
1021,0.03,0.07,0.1,0.13,17.3,0.0,0.01,0.39,0.37
2847,0.4,1.21,7.38,11.57,1.03,0.11,8.18,18.06,0.01
3498,0.85,1.23,2.03,2.82,1.1,0.03,2.28,22.77,18.88
5168,0.7,10.0,12.71,14.63,2.67,0.01,3.79,5.59,0.15
1232,2.0,2.07,2.24,2.63,1.23,0.03,2.14,52.91,48.4
2016,0.01,0.09,0.45,0.71,1.01,0.11,9.9,10.83,0.06
3839,9.13,15.92,16.58,18.31,1.0,0.29,2.04,34.59,24.22
5693,7.31,9.77,10.1,10.58,1.0,0.18,1.8,29.92,18.03
836,0.02,0.09,0.12,0.15,23.11,0.0,0.01,0.36,0.34
1148,15.87,16.67,17.33,18.37,1.0,0.28,0.48,19.03,4.88
5570,3.06,5.8,6.04,6.41,2.26,0.07,12.01,25.14,22.0
2943,0.04,0.08,0.11,0.14,34.2,0.0,0.01,0.39,0.38
1439,1.11,1.91,2.31,3.52,1.02,0.03,0.6,10.48,9.13
1784,12.23,17.23,17.64,18.52,1.0,0.3,0.28,47.29,28.58
2840,11.97,13.38,15.32,16.34,1.0,0.26,2.34,34.81,18.21
2892,0.01,0.1,0.12,0.18,29.67,0.0,0.01,0.43,0.42
182,0.06,0.18,15.12,15.67,1.0,0.18,12.06,18.85,0.02
382,1.23,4.35,4.59,5.36,1.0,0.08,0.87,52.39,37.81
1487,0.89,1.99,2.35,2.75,1.02,0.04,0.38,32.02,28.53
4181,8.67,16.21,16.56,16.97,1.0,0.29,1.74,34.92,0.52
1695,0.89,2.14,2.35,2.52,1.02,0.04,0.46,28.97,21.33
3961,0.0,0.02,0.03,0.05,10.31,0.0,0.0,0.36,0.35
2984,0.04,0.1,0.12,0.14,47.15,0.0,0.01,0.39,0.38
706,0.01,0.03,0.04,0.05,24.46,0.0,0.0,0.36,0.36
1423,0.85,1.78,2.09,2.28,1.64,0.02,2.15,49.71,45.26
5543,10.84,16.49,17.29,18.28,1.0,0.29,17.07,31.81,0.28
3941,8.82,15.37,15.48,15.89,1.0,0.26,2.84,39.3,20.02
5411,3.77,5.35,5.63,6.65,1.46,0.03,9.5,29.79,17.75
4380,15.37,15.69,16.06,16.5,1.0,0.27,0.72,37.73,1.19
3497,1.01,2.42,2.83,3.14,1.0,0.03,1.11,22.35,18.59
3646,0.01,10.99,13.57,13.96,1.04,0.13,16.88,12.7,0.02
1774,13.17,14.14,14.96,15.78,1.0,0.25,0.72,34.72,27.09
4028,7.39,13.68,14.07,14.32,1.0,0.24,1.07,22.12,3.43
2861,0.75,1.38,1.59,1.77,1.0,0.03,0.34,81.33,78.33
4937,0.38,5.67,6.2,6.66,1.01,0.1,4.63,76.95,75.6
1757,0.28,5.44,8.89,14.33,1.02,0.14,9.79,18.47,0.01
4858,2.33,2.94,5.45,11.97,1.2,0.1,8.85,17.12,4.36
457,0.02,0.04,0.05,0.06,42.59,0.0,0.0,0.39,0.39
358,0.0,0.04,0.05,0.06,25.24,0.0,0.0,0.32,0.32
441,2.04,3.76,4.53,5.16,1.67,0.0,8.91,55.14,47.4
1640,1.13,1.94,2.21,2.41,1.0,0.04,0.22,62.13,57.0
3559,0.0,0.09,0.23,0.31,18.48,0.0,0.01,0.4,0.39
2072,12.08,13.95,14.16,14.61,1.0,0.25,0.54,32.64,6.96
5008,3.49,9.22,15.82,16.69,1.0,0.23,5.99,26.2,3.7
929,4.08,4.99,5.23,5.37,1.0,0.09,0.62,28.76,23.5
663,0.01,0.05,2.45,15.69,1.03,0.1,13.01,17.55,0.01
4781,7.48,13.35,14.28,14.81,1.0,0.23,0.46,37.1,3.01
5858,13.0,17.67,18.25,19.4,1.0,0.3,0.19,44.66,24.78
482,0.03,0.05,0.06,0.07,21.26,0.0,0.01,0.4,0.39
1723,0.88,2.12,2.43,2.76,1.77,0.03,2.06,39.01,33.53
3412,1.01,6.1,15.34,15.65,1.18,0.13,12.48,27.42,14.29
1879,1.24,1.44,2.29,5.78,1.02,0.04,0.79,150.71,149.06
4951,4.51,5.75,6.19,6.63,1.0,0.09,0.92,92.4,82.29
2824,14.73,15.16,15.33,15.72,1.0,0.27,0.11,19.37,16.54
2731,0.1,0.16,0.22,0.35,26.53,0.0,0.03,0.36,0.34
1888,3.77,3.95,4.15,4.45,1.0,0.07,0.08,59.48,54.59
4205,7.25,10.15,10.37,10.54,1.0,0.18,0.37,23.84,9.73
3680,2.96,5.35,5.56,5.79,1.1,-0.03,13.93,107.88,99.22
4653,0.32,1.24,1.44,2.09,1.29,0.02,1.86,11.47,9.73
2819,0.07,0.24,0.28,0.44,3.77,0.0,0.26,0.46,0.24
2618,1.14,4.63,4.81,5.28,1.01,0.07,4.8,24.63,21.09
4395,9.15,15.8,16.46,18.02,1.0,0.27,16.16,50.29,16.67
421,0.0,0.03,0.04,0.05,13.2,0.0,0.0,0.32,0.32
5040,9.5,14.47,15.09,16.0,1.0,0.23,1.17,13.09,0.49
3722,2.63,4.7,5.62,6.11,1.28,0.07,3.58,29.25,24.66
4374,13.31,15.22,15.35,15.79,1.0,0.26,1.56,47.48,0.1
767,0.0,0.02,0.03,0.04,20.48,0.0,0.0,0.36,0.36
5586,4.75,5.42,5.72,6.05,1.0,0.09,0.11,257.9,255.76
2707,3.69,4.82,5.61,5.73,1.13,0.07,5.16,61.87,50.75
4396,9.06,13.12,13.57,13.85,1.0,0.23,1.21,40.61,1.23
3700,0.66,1.23,1.42,1.92,1.0,0.02,1.33,35.01,33.13
5792,3.94,6.09,6.29,6.46,1.59,0.1,14.89,21.75,14.72
2756,0.09,0.26,0.37,0.49,30.08,0.0,0.03,0.46,0.41
3359,1.4,2.13,2.29,2.52,1.01,0.04,7.64,26.42,17.52
1404,1.68,2.09,2.71,3.06,1.53,-0.02,7.52,13.79,9.28
3304,2.17,4.73,4.93,5.05,1.82,0.01,3.95,98.89,92.11
5398,2.47,5.01,5.32,5.86,5.17,0.0,2.35,19.98,17.43
1496,0.71,1.69,1.87,2.69,1.2,0.03,1.09,39.11,33.41
857,12.01,13.09,13.58,14.11,1.0,0.24,1.42,20.86,15.59
3736,1.2,4.17,4.95,5.46,1.17,0.03,5.05,30.75,24.42
925,3.27,5.76,12.74,13.99,1.0,0.19,6.17,24.44,0.0
2184,1.92,4.89,5.2,5.49,1.3,0.01,3.27,25.66,22.05
1150,11.91,16.33,16.67,17.09,1.0,0.28,2.13,46.24,4.28
3656,0.01,0.08,0.11,0.19,2.59,0.0,0.11,0.32,0.22
5704,1.19,2.0,3.43,7.64,2.89,-0.04,10.31,85.04,77.95
3448,0.95,5.31,14.98,15.49,1.08,0.24,17.94,34.31,19.62
5501,1.64,5.22,5.41,10.69,1.92,0.01,8.36,29.0,17.81
2651,2.25,3.87,4.25,4.91,1.67,-0.03,8.22,25.05,21.18
3113,13.59,14.41,15.81,17.58,1.0,0.27,0.83,35.79,26.06
4941,0.69,2.07,10.1,15.42,1.03,0.18,10.66,93.14,87.36
1073,14.59,15.78,16.28,17.46,1.0,0.28,0.08,36.6,17.32
3063,2.66,4.55,4.71,4.89,1.77,-0.03,5.97,31.7,28.4
4817,9.4,14.82,15.45,16.32,1.0,0.26,0.42,51.47,43.99
3027,0.0,0.07,0.09,0.15,13.7,0.0,0.01,0.39,0.38
4944,2.67,8.9,12.21,12.56,1.43,0.1,9.28,94.4,77.73
4926,5.19,10.19,16.26,16.51,1.05,0.16,12.93,19.92,1.9
4681,3.17,3.94,4.8,6.41,2.32,0.02,5.23,18.94,15.01
1522,1.22,1.94,2.25,5.81,1.03,0.03,0.75,44.33,40.54
687,0.01,0.02,0.04,0.05,29.59,0.0,0.0,0.36,0.36
4101,0.0,0.01,0.02,0.03,9.16,0.0,0.0,0.36,0.36
5764,5.64,10.75,11.29,11.73,1.0,0.2,1.6,34.96,28.65
4617,3.89,5.93,6.29,6.58,1.0,0.1,0.11,41.52,29.85
4125,0.0,0.01,0.02,0.03,10.62,0.0,0.0,0.36,0.36
3975,0.0,0.02,0.03,0.05,8.6,0.0,0.0,0.32,0.32
2575,1.18,3.99,4.28,4.64,1.26,0.04,4.37,27.49,21.12
3598,0.31,1.76,2.04,2.22,1.56,0.0,0.21,66.31,65.59
1230,0.45,2.04,2.28,2.72,1.09,0.03,1.36,52.75,47.35
6044,0.06,0.75,6.15,6.46,1.04,0.06,4.16,13.91,0.03
5396,3.91,5.16,5.52,5.74,3.91,-0.01,3.77,19.83,17.8
4963,8.18,13.36,14.14,15.03,1.0,0.24,3.2,34.81,24.52
3054,13.39,15.4,16.4,16.81,1.0,0.27,0.85,34.6,25.13
5197,6.43,12.83,15.06,15.6,2.79,-0.01,10.55,14.13,8.49
3132,0.06,0.1,0.12,0.16,26.28,0.0,0.01,0.36,0.36
4660,2.01,2.24,2.34,2.45,1.0,0.04,6.99,11.47,8.55
4185,0.01,0.07,0.1,0.18,11.85,0.0,0.02,0.36,0.34
1530,1.33,1.9,2.33,2.52,1.0,0.04,0.23,38.88,34.06
1793,0.04,0.08,0.09,0.13,49.79,0.0,0.01,0.31,0.3
853,0.0,16.22,16.84,17.61,1.0,0.23,29.18,16.01,0.03
3903,0.33,9.17,9.59,10.83,1.0,0.16,1.56,20.14,0.04
4029,7.7,13.48,13.72,14.32,1.0,0.23,1.63,36.7,17.84
6083,3.69,5.34,5.94,7.26,1.06,0.08,1.56,55.88,51.18
1280,1.13,16.85,17.07,17.48,1.06,0.29,31.53,37.45,25.58
1992,0.0,0.02,0.04,0.07,1.48,0.0,0.06,0.33,0.27
5822,0.0,12.78,12.98,14.09,1.65,0.2,23.97,10.56,0.21
3584,0.06,0.19,0.3,13.41,1.02,0.07,10.86,16.65,0.01
1324,0.42,2.08,2.52,3.01,1.25,0.03,2.29,25.22,22.23
4813,9.75,15.39,16.26,17.49,1.0,0.26,1.15,60.79,40.5
4376,3.1,15.75,16.34,17.01,1.0,0.28,25.06,15.64,0.3
2594,1.51,4.46,4.74,5.11,1.92,0.0,5.07,25.65,21.85
615,0.08,0.12,0.14,0.17,70.23,0.0,0.01,0.24,0.23
369,2.52,4.59,4.93,5.24,2.2,0.02,4.78,44.93,36.0
5707,0.75,5.72,6.02,6.56,1.58,0.04,6.76,79.34,77.71
3086,1.65,5.66,6.13,6.64,1.06,0.04,3.09,29.44,22.11
1441,3.01,3.39,6.03,17.42,1.07,0.21,17.02,47.51,36.29
3376,1.08,5.55,6.05,6.32,1.04,0.1,2.11,26.15,16.75
3842,2.35,3.48,6.44,10.18,1.16,0.06,1.61,60.8,52.82
4912,13.72,17.67,18.0,18.37,1.0,0.19,9.88,19.99,1.01
5530,1.32,4.74,6.19,13.47,1.01,0.16,7.11,24.25,18.23
2324,2.62,4.89,5.13,5.64,3.46,0.01,4.06,20.26,17.76
1046,13.02,15.44,16.07,16.88,1.0,0.26,0.12,25.55,14.75
5639,0.18,0.25,0.3,0.42,6.99,0.0,0.16,0.46,0.37
4394,11.97,15.86,16.19,17.05,1.0,0.27,0.44,32.23,0.1
331,4.16,13.94,14.81,15.39,1.02,0.22,9.99,52.73,29.52
3203,11.83,15.8,16.3,17.3,1.0,0.26,1.69,15.88,2.13
3523,0.91,2.15,2.32,2.5,1.0,0.04,0.11,42.69,35.93
4067,0.01,0.04,0.05,0.06,12.39,0.0,0.01,0.4,0.39
1359,0.62,1.39,1.86,2.05,1.16,-0.01,7.49,65.1,58.39
4178,1.49,5.14,5.64,6.25,1.0,0.07,1.74,12.69,1.91
5746,0.0,0.08,0.1,0.12,12.06,0.0,0.01,0.39,0.38
2829,12.43,15.2,15.55,15.79,1.0,0.27,1.57,33.9,26.01
6070,2.15,4.27,5.53,6.57,1.0,0.08,0.89,124.55,121.47
149,0.0,0.1,0.14,0.17,27.8,0.0,0.0,0.4,0.39
5880,6.73,12.37,12.69,13.23,1.0,0.22,0.2,44.23,35.84
4707,0.39,0.97,1.3,13.81,1.13,0.05,13.34,29.6,18.84
3388,0.36,14.46,14.85,15.18,1.13,0.26,19.34,29.9,16.92
4222,6.79,7.93,8.16,9.48,1.94,0.04,10.57,17.64,4.32
5807,1.56,5.63,6.17,6.95,2.13,0.0,2.47,25.6,21.87
3790,7.87,9.94,13.81,15.51,1.0,0.23,4.72,34.51,9.36
3769,0.0,0.22,0.29,8.12,2.05,-0.01,2.93,1.57,0.03
6063,0.0,0.04,0.08,0.12,5.21,0.0,0.02,0.35,0.33
3493,1.07,12.79,13.4,16.01,2.19,0.02,16.9,36.37,29.68
5031,7.36,14.48,16.99,18.1,1.0,0.28,0.99,16.77,7.08
3694,1.59,4.52,4.92,5.2,1.25,0.05,3.27,59.74,54.61
516,0.03,16.46,17.47,17.76,1.03,0.28,5.69,17.9,0.0
4123,0.0,0.01,0.02,0.03,10.82,0.0,0.0,0.36,0.36
6186,5.77,5.95,6.09,6.47,1.0,0.1,0.64,105.49,91.68
3817,5.18,15.33,15.7,17.01,1.01,0.18,8.74,51.82,27.71
1173,15.57,16.16,16.59,17.45,1.0,0.28,0.14,14.95,4.15
2530,3.94,13.48,14.24,15.02,1.0,0.24,6.5,35.14,23.0
5044,9.23,17.79,18.24,18.63,1.0,0.26,2.08,13.73,0.36
4322,9.53,14.28,14.74,15.37,1.0,0.26,0.88,21.55,15.4
5117,0.01,0.04,0.06,0.09,12.42,0.0,0.0,0.29,0.28
5712,1.7,3.07,7.51,13.84,1.0,0.14,5.65,84.03,72.72
946,0.01,0.14,0.18,0.23,20.79,0.0,0.02,0.37,0.34
5459,3.12,4.74,5.3,5.76,4.07,0.0,3.0,20.2,17.79
1652,0.46,0.89,1.72,3.44,2.2,0.01,2.56,41.09,36.97
2466,2.8,4.38,4.87,5.69,1.71,0.01,6.41,21.95,14.42
4017,6.59,9.29,11.96,13.55,1.0,0.15,12.17,38.81,0.89
692,0.0,0.02,0.02,0.03,15.05,0.0,0.0,0.36,0.35
3964,4.91,14.2,14.79,15.4,1.0,0.25,2.31,23.47,0.02
289,0.04,0.08,0.11,0.14,69.12,0.0,0.0,0.32,0.31
4310,0.01,0.12,0.18,0.21,12.71,0.0,0.01,0.35,0.34
4389,12.48,16.22,16.78,17.64,1.0,0.28,2.13,33.61,0.1
3034,0.0,0.08,0.11,0.15,3.66,0.0,0.06,0.39,0.36
4744,6.23,6.66,6.86,7.26,1.0,0.11,0.43,213.19,194.43
4331,8.97,15.45,15.8,16.32,1.0,0.28,1.21,33.49,4.44
2343,2.41,4.55,5.31,5.66,3.93,0.0,3.44,20.18,17.33
61,0.01,0.18,16.34,16.82,1.0,0.18,17.5,17.74,0.05
5313,7.57,10.19,12.79,13.11,1.0,0.21,3.74,19.08,2.05
3824,0.01,0.09,0.11,0.14,4.43,0.0,0.03,0.36,0.33
832,0.04,0.09,0.12,0.16,15.44,0.0,0.02,0.36,0.34
2758,0.16,0.28,0.35,0.41,50.97,0.0,0.02,0.46,0.44
2552,1.53,1.94,4.61,5.72,1.48,0.04,2.58,27.16,22.86
3147,0.06,0.18,0.22,0.25,41.6,0.0,0.01,0.31,0.3
1907,2.88,4.73,4.91,5.18,1.0,0.07,1.44,94.43,90.78
934,0.07,0.2,0.26,0.32,45.58,0.0,0.01,0.33,0.31
3453,0.21,0.94,1.22,2.86,1.0,0.02,2.58,28.92,26.0
2415,1.24,4.43,4.71,4.93,1.08,0.03,5.03,26.6,19.51
4607,0.92,2.02,2.38,2.84,1.08,0.03,0.96,15.58,10.17
5419,1.69,5.31,5.51,5.7,4.81,0.0,2.77,20.03,17.77
4284,12.51,16.68,17.38,18.44,1.0,0.28,11.26,40.06,0.22
589,0.05,0.09,0.11,0.13,30.23,0.0,0.01,0.24,0.23
2566,2.65,4.69,4.98,5.31,1.0,0.07,4.93,24.86,21.35
590,0.04,0.08,0.09,0.12,36.37,0.0,0.01,0.24,0.23
1144,12.41,16.67,17.31,18.18,1.0,0.29,2.91,42.29,4.88
4573,0.61,3.88,4.13,16.98,1.32,0.03,16.93,18.82,7.2
3696,1.59,5.36,6.08,6.6,1.16,0.04,1.32,57.47,54.47
6124,6.33,11.36,11.78,12.23,1.0,0.18,5.47,34.75,6.68
4590,0.87,2.46,2.71,2.95,1.9,0.02,2.01,15.93,13.11
3856,8.27,14.22,14.75,15.9,1.0,0.26,0.45,61.47,27.38
4913,4.02,8.23,8.93,9.37,1.0,0.1,9.46,35.53,6.57
258,0.0,15.1,15.48,16.03,1.01,0.26,9.49,22.8,0.02
1991,0.0,0.23,0.44,0.72,1.26,0.04,3.81,2.14,0.16
5335,0.18,14.46,15.19,15.6,1.09,0.0,25.83,26.2,0.84
3719,2.81,5.48,5.79,6.15,1.0,0.08,0.46,26.31,23.58
5830,11.94,13.88,14.62,15.41,1.0,0.25,0.79,7.51,0.28
607,0.07,0.11,0.13,0.15,52.14,0.0,0.0,0.24,0.23
3157,2.6,4.45,4.84,5.2,1.0,0.06,1.12,85.7,79.37
6094,9.43,12.93,13.29,13.5,1.0,0.23,0.52,21.58,6.09
587,0.04,0.09,0.1,0.11,59.48,0.0,0.0,0.24,0.23
566,0.03,0.07,0.09,0.1,44.95,0.0,0.0,0.24,0.23
1382,0.39,1.93,2.19,2.5,1.08,0.03,1.44,20.49,14.54
3570,0.01,0.1,0.33,0.49,2.74,0.0,0.14,0.33,0.22
4649,0.9,16.11,16.62,17.31,1.0,0.27,2.45,53.25,9.37
6045,0.0,0.58,0.76,6.51,1.1,0.04,3.65,7.54,0.03
2807,0.17,0.31,0.36,0.47,40.32,0.0,0.02,0.45,0.44
3050,12.89,13.69,15.03,15.75,1.0,0.25,1.43,27.93,1.73
4747,4.41,6.17,6.31,6.51,1.02,0.11,1.57,177.52,172.75
5913,7.2,15.12,15.32,15.74,1.0,0.27,0.44,35.44,24.02
4070,1.32,4.59,5.48,7.52,1.01,0.07,0.66,47.33,38.8
196,0.0,15.57,16.07,16.5,1.51,0.17,27.87,19.33,0.03
6224,7.36,14.68,15.41,16.39,1.0,0.25,6.1,25.61,1.21
133,0.01,0.07,0.09,0.11,38.73,0.0,0.0,0.4,0.4
3640,0.07,0.14,0.17,0.23,20.18,0.0,0.02,0.23,0.21
2749,0.16,0.28,0.35,0.47,35.82,0.0,0.03,0.46,0.44
321,0.0,15.05,17.61,18.18,1.0,0.24,37.58,8.42,0.03
2166,2.82,3.57,3.72,4.54,1.09,0.05,2.19,23.88,15.21
5979,11.01,12.2,13.57,14.31,1.0,0.22,0.89,35.41,23.71
6081,4.58,4.95,5.04,5.22,1.08,0.08,6.42,58.95,51.18
4606,6.76,11.98,16.28,17.17,1.02,0.14,2.11,28.52,8.24
6173,1.69,5.34,5.68,6.06,1.03,0.09,2.54,186.68,183.04
905,0.03,15.43,15.65,16.05,1.0,0.26,13.89,28.82,0.02
5801,4.18,5.51,5.61,5.74,1.0,0.05,1.21,24.35,16.89
1639,2.74,4.43,5.33,16.83,1.6,0.05,14.0,49.62,39.21
3235,11.98,14.15,14.6,15.2,1.0,0.24,1.44,24.37,13.2
1978,1.62,2.11,3.03,3.84,1.0,0.03,0.08,34.76,34.35
1251,0.73,2.09,2.25,2.33,1.69,0.01,2.79,42.48,40.02
1697,0.89,2.01,2.26,2.56,1.02,0.04,1.04,29.55,23.62
229,0.04,0.11,0.13,0.16,50.21,0.0,0.01,0.34,0.33
1056,11.3,15.78,16.51,17.79,1.0,0.27,3.03,46.46,13.88
2370,2.52,4.77,5.03,5.34,1.0,0.03,3.37,26.96,21.8
4654,0.32,1.32,1.71,2.02,1.16,0.03,1.74,11.11,9.04
3709,3.39,3.93,4.16,5.37,1.22,0.04,3.17,25.39,22.98
2069,3.3,4.52,4.79,5.02,1.0,0.08,0.06,61.64,56.4
579,0.03,0.05,0.06,0.08,17.32,0.0,0.01,0.24,0.23
5124,0.16,10.78,14.85,15.81,1.41,0.11,8.92,16.04,0.16
3804,5.77,12.32,15.68,16.31,1.0,0.22,17.38,70.89,49.73
4183,0.09,0.18,0.22,0.28,12.83,0.0,0.05,0.37,0.34
114,13.11,14.94,15.31,16.08,1.0,0.25,0.68,46.42,26.68
2810,0.15,0.25,0.33,0.41,39.24,0.0,0.02,0.46,0.44
2150,1.28,4.29,4.66,5.16,1.35,0.04,5.78,34.16,29.66
3795,7.05,13.81,14.45,15.11,1.0,0.23,5.64,46.44,31.28
5624,0.14,0.26,0.32,0.44,7.66,0.0,0.14,0.45,0.39
1190,12.62,13.21,13.31,13.7,1.0,0.23,1.25,38.48,9.51
3537,1.33,2.21,2.36,3.96,1.29,0.01,3.43,34.4,30.06
226,0.07,0.12,0.14,0.17,16.07,0.0,0.02,0.34,0.32
1557,0.58,0.71,1.98,2.58,1.45,0.02,2.29,21.58,19.07
17,0.03,0.06,0.1,0.13,57.51,0.0,0.0,0.32,0.32
5826,1.43,7.49,8.16,8.44,2.41,0.02,6.45,19.22,14.25
2338,1.91,4.89,5.42,5.75,3.97,0.01,3.97,20.12,17.76
2612,1.12,4.55,4.72,5.04,1.48,-0.02,7.07,26.71,22.18
4032,0.22,5.13,8.68,14.76,1.04,0.14,10.46,49.34,44.82
5289,7.01,10.5,12.2,13.18,1.0,0.21,0.88,31.77,19.44
1729,15.4,16.05,16.25,16.51,1.0,0.28,0.29,28.29,2.04
418,0.01,0.03,0.04,0.06,25.38,0.0,0.0,0.32,0.32
688,0.0,0.02,0.03,0.04,32.76,0.0,0.0,0.36,0.36
988,0.05,0.15,0.25,0.37,27.84,0.0,0.02,0.42,0.39
1062,14.29,14.9,15.13,15.38,1.0,0.26,2.22,43.19,11.72
950,0.07,0.18,0.22,0.27,57.01,0.0,0.01,0.35,0.34
5898,6.88,13.88,14.35,14.61,1.0,0.24,2.1,24.37,0.02
3242,0.01,0.02,0.03,0.04,24.74,0.0,0.0,0.36,0.36
2620,3.67,5.32,5.58,6.03,1.34,0.0,4.33,25.06,21.35
2277,1.69,5.22,5.42,5.6,3.75,-0.01,4.83,20.24,17.61
4294,7.38,10.76,11.31,11.79,1.0,0.19,1.13,22.41,1.63
86,2.79,5.21,5.26,6.44,1.0,0.06,7.51,50.93,41.33
2488,0.71,4.77,4.89,5.07,1.09,0.04,2.89,26.34,19.69
